name,pet_type,breed,age,sex,size,location,city,district,province,country,description,health_status,vaccinated,energy_level,temperament,affectionate,apartment_friendly,kids_friendly,social_with_children,social_with_other_pets,trainability,grooming_needs,exercise_needs,status,available,image,adoption_fee
Max,dog,Golden Retriever,3,male,large,"Thamel, Kathmandu",Kathmandu,Kathmandu,Bagmati,Nepal,Friendly and energetic dog that loves to play fetch and swim. Great with families.,Excellent health,true,high,friendly,true,false,true,true,true,easy,medium,high,available,true,https://placedog.net/500/500?id=1,250
Bella,cat,Persian,2,female,medium,"Lakeside, Pokhara",Pokhara,Kaski,Gandaki,Nepal,Beautiful Persian cat with long silky fur. Loves to lounge and be pampered.,Healthy,true,low,calm,true,true,false,false,false,medium,high,low,available,true,https://placekitten.com/500/500?image=1,150
Charlie,dog,Beagle,5,male,medium,"Pulchowk, Lalitpur",Lalitpur,Lalitpur,Bagmati,Nepal,Curious and friendly beagle with a great nose. Loves long walks and tracking scents.,Good health - minor allergy,true,medium,friendly,true,true,true,true,true,medium,low,medium,available,true,https://placedog.net/500/500?id=2,200
Luna,cat,Siamese,1,female,small,"Biratnagar Main Road",Biratnagar,Morang,Koshi,Nepal,Playful and vocal Siamese kitten. Very intelligent and social.,Excellent health,true,high,active,true,true,true,true,true,easy,low,medium,available,true,https://placekitten.com/500/500?image=2,180
Rocky,dog,German Shepherd,4,male,large,"Dhapasi, Kathmandu",Kathmandu,Kathmandu,Bagmati,Nepal,Loyal and protective German Shepherd. Well-trained and great for active families.,Healthy,true,high,calm,true,false,true,true,false,easy,medium,high,available,true,https://placedog.net/500/500?id=3,300
Daisy,dog,Labrador Retriever,2,female,large,"Budhanilkantha, Kathmandu",Kathmandu,Kathmandu,Bagmati,Nepal,Sweet and gentle Lab who loves everyone. Perfect family companion.,Excellent health,true,high,friendly,true,false,true,true,true,easy,low,high,available,true,https://placedog.net/500/500?id=4,275
Whiskers,cat,Maine Coon,6,male,large,"Mahendrapool, Pokhara",Pokhara,Kaski,Gandaki,Nepal,Gentle giant Maine Coon. Very friendly and good with children and other pets.,Good health,true,medium,friendly,true,true,true,true,true,medium,high,medium,available,true,https://placekitten.com/500/500?image=3,175
Buddy,dog,Poodle,3,male,medium,"Jhamsikhel, Lalitpur",Lalitpur,Lalitpur,Bagmati,Nepal,Smart and hypoallergenic poodle. Great for families with allergies.,Excellent health,true,medium,active,true,true,true,true,true,easy,high,medium,available,true,https://placedog.net/500/500?id=5,225
Cleo,cat,Bengal,2,female,medium,"Dharan Main Road",Dharan,Sunsari,Koshi,Nepal,Active and playful Bengal with beautiful markings. Loves to climb and explore.,Healthy,true,high,active,false,true,false,false,true,medium,low,high,available,true,https://placekitten.com/500/500?image=4,200
Duke,dog,Bulldog,4,male,medium,"Bhaktapur Durbar Square",Bhaktapur,Bhaktapur,Bagmati,Nepal,Calm and affectionate bulldog. Great apartment dog with moderate exercise needs.,Good health - monitored breathing,true,low,calm,true,true,true,true,false,medium,low,low,available,true,https://placedog.net/500/500?id=6,350
Mittens,cat,Ragdoll,3,female,medium,"Hetauda Bazar",Hetauda,Makwanpur,Bagmati,Nepal,Docile and affectionate Ragdoll. Loves to be held and follows owners around.,Excellent health,true,low,calm,true,true,true,true,true,easy,medium,low,available,true,https://placekitten.com/500/500?image=5,195
Zeus,dog,Rottweiler,5,male,large,"Butwal Main Road",Butwal,Rupandehi,Lumbini,Nepal,Strong and confident Rottweiler. Well-socialized and protective of family.,Healthy,true,medium,calm,true,false,false,false,false,medium,low,medium,available,true,https://placedog.net/500/500?id=7,280
Nala,cat,Scottish Fold,2,female,small,"Birgunj Parsa Street",Birgunj,Parsa,Madhesh,Nepal,Adorable Scottish Fold with sweet personality. Quiet and gentle companion.,Excellent health,true,low,calm,true,true,true,true,true,easy,low,low,available,true,https://placekitten.com/500/500?image=6,220
Toby,dog,Corgi,3,male,small,"Nepalgunj Road",Nepalgunj,Banke,Lumbini,Nepal,Energetic and smart Corgi. Herding instinct makes him playful and active.,Good health,true,high,active,true,true,true,true,true,easy,medium,high,available,true,https://placedog.net/500/500?id=8,265
Shadow,cat,Black Shorthair,4,male,medium,"Itahari Chowk",Itahari,Sunsari,Koshi,Nepal,Sleek black cat with striking green eyes. Independent but affectionate.,Healthy,true,medium,shy,true,true,false,false,true,medium,low,low,available,true,https://placekitten.com/500/500?image=7,125
Bailey,dog,Cocker Spaniel,6,female,medium,"Janakpur City Center",Janakpur,Dhanusha,Madhesh,Nepal,Gentle and loving Cocker Spaniel. Great with seniors and families alike.,Good health - senior care,true,low,friendly,true,true,true,true,true,easy,high,low,available,true,https://placedog.net/500/500?id=9,175
Simba,cat,Orange Tabby,1,male,medium,"Gorkha Bazaar",Gorkha,Gorkha,Gandaki,Nepal,Playful orange tabby kitten full of energy. Loves toys and laser pointers.,Excellent health,true,high,active,true,true,true,true,true,easy,low,medium,available,true,https://placekitten.com/500/500?image=8,145
Cooper,dog,Australian Shepherd,2,male,medium,"Baneshwor, Kathmandu",Kathmandu,Kathmandu,Bagmati,Nepal,Highly intelligent Aussie who needs mental stimulation. Great for active owners.,Excellent health,true,high,active,true,false,true,true,true,easy,medium,high,available,true,https://placedog.net/500/500?id=10,290
Princess,cat,Himalayan,5,female,medium,"Chitwan National Park Area",Bharatpur,Chitwan,Bagmati,Nepal,Beautiful Himalayan with blue eyes. Calm and loves quiet environments.,Good health,true,low,calm,true,true,false,false,false,medium,high,low,available,true,https://placekitten.com/500/500?image=9,165
